 ,Population,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,13232,17.12547725
Montenegro,628062,97389,15.50627167
Czechia,10708982,1630758,15.22794604
San Marino,33938,5066,14.92722023
Slovenia,2078932,240292,11.55843481
Luxembourg,625976,67205,10.73603461
Bahrain,1701583,176934,10.39819979
Serbia,6804596,689557,10.13369493
United States,331002647,32346971,9.772420642
Israel,8655541,838481,9.687216547
Sweden,10099270,973604,9.640340341
Estonia,1326539,122019,9.198297223
Lithuania,2722291,247269,9.083121533
Netherlands,17134873,1522973,8.888148748
Belgium,11589616,990229,8.544105344
Panama,4314768,364576,8.449492534
France,68147687,5677835,8.331662086
Portugal,10196707,836493,8.203560228
Croatia,4105268,332183,8.091627636
Hungary,9660350,779348,8.067492379
Georgia,3989175,310310,7.778801381
Lebanon,6825442,526578,7.714928938
Liechtenstein,38137,2926,7.672339198
Switzerland,8654618,659974,7.625686079
Spain,46754783,3524077,7.537361472
Cyprus,875899,65233,7.447548176
Poland,37846605,2792142,7.37752303
North Macedonia,2083380,152367,7.313452179
Armenia,2963234,216064,7.291493011
Qatar,2881060,205652,7.138067239
Slovakia,5459643,382211,7.000659201
Jordan,10203140,711373,6.972098785
European Union,444919060,30771214,6.91613751
Brazil,212559409,14659011,6.896430071
Austria,9006400,618870,6.871446971
Malta,441539,30292,6.860549125
Italy,60461828,4022653,6.653211014
Argentina,45195777,2977363,6.587701767
United Kingdom,67886004,4432246,6.528954039
Kuwait,4270563,273991,6.415805129
North America,592072204,37529488,6.338667437
Latvia,1886202,118558,6.285540997
Chile,19116209,1198245,6.268214582
Monaco,39244,2454,6.2531852
Moldova,4033963,250837,6.218128426
Bosnia and Herzegovina,3280815,198461,6.049137181
Europe,748680069,44863478,5.992343039
Seychelles,98340,5873,5.972137482
Bulgaria,6948445,404380,5.819719376
Palestine,5101416,296462,5.811366883
South America,430759772,24878216,5.775426959
Turkey,84339067,4820591,5.715727209
Uruguay,3473727,198428,5.712250848
Colombia,50882884,2859724,5.620208163
Maldives,540542,29835,5.519460097
Romania,19237682,1055265,5.485406194
Peru,32971846,1799445,5.457519728
Kosovo,1932774,103638,5.362137529
United Arab Emirates,9890400,520236,5.260009706
Ireland,4937796,248870,5.040102912
Costa Rica,5094114,250991,4.927078585
Ukraine,43733759,2124070,4.856820105
Albania,2877800,131085,4.555042046
Denmark,5792203,251249,4.337710539
Cape Verde,555988,23882,4.295416448
Germany,83783945,3405365,4.064460082
Paraguay,7132530,279077,3.912735032
Belarus,9449321,358738,3.796442094
Oman,5106622,193253,3.784360777
Vatican,809,27,3.337453646
Greece,10423056,345033,3.31028635
Russia,145934460,4750755,3.255403145
Canada,37742157,1228367,3.254628505
Belize,397621,12668,3.185948428
Azerbaijan,10139175,319109,3.147287624
Iran,83992953,2499077,2.975341277
South Africa,59308690,1581210,2.666067991
Bahamas,393248,10453,2.65811905
Iraq,40222503,1065199,2.64826632
Tunisia,11818618,309119,2.615525775
Bolivia,11673029,303732,2.601998162
Libya,6871287,177508,2.583329731
Saint Lucia,183629,4552,2.478911283
Dominican Republic,10847904,266561,2.457258103
Ecuador,17643060,381862,2.164375114
Honduras,9904608,212333,2.143779946
Norway,5421242,112970,2.083839829
Kazakhstan,18776707,375539,2.000025883
Botswana,2351625,46934,1.995811407
World,7794798729,151399480,1.942314167
Namibia,2540916,48351,1.902896436
Iceland,341250,6472,1.896556777
Mexico,128932753,2344755,1.818587555
Suriname,586634,10363,1.766518818
Guyana,786559,13283,1.688748079
Saint Vincent and the Grenadines,110947,1864,1.68008148
Eswatini,1160164,18458,1.590981965
Finland,5540718,86808,1.566728355
Jamaica,2961161,45578,1.53919358
Kyrgyzstan,6524191,95275,1.460334316
India,1380004385,19164969,1.388761457
Morocco,36910558,511249,1.385102333
Barbados,287371,3855,1.341471478
Guatemala,17915567,227671,1.270799858
Malaysia,32365998,408713,1.262785099
Antigua and Barbuda,97928,1232,1.258067151
Saudi Arabia,34813867,417363,1.198841255
Mongolia,3278292,37285,1.137330049
Djibouti,988002,11100,1.123479507
Nepal,29136808,323187,1.109205236
El Salvador,6486201,69198,1.066849455
Sao Tome and Principe,219161,2302,1.050369363
Singapore,5850343,61145,1.045152395
Gabon,2225728,23075,1.03673944
Philippines,109581085,1037460,0.946750984
Cuba,11326616,106707,0.942090736
Asia,4639847425,39526308,0.851888098
Trinidad and Tobago,1399491,10824,0.773424052
Venezuela,28435943,197683,0.695187074
Indonesia,273523621,1668368,0.609953902
Equatorial Guinea,1402985,7694,0.548402157
Sri Lanka,21413250,108146,0.505042439
Lesotho,2142252,10731,0.50092146
Zambia,18383956,91586,0.498184395
Japan,126476458,593264,0.469070695
Bangladesh,164689383,759132,0.460947747
Comoros,869595,3834,0.440894899
Mauritania,4649660,18402,0.395770874
Pakistan,220892331,825519,0.373720082
Africa,1340598113,4557699,0.339975042
Ghana,31072945,92562,0.297886151
Kenya,53771300,159318,0.296288169
Algeria,43851043,122108,0.278460879
Cameroon,26545864,72250,0.272170459
Uzbekistan,33469199,90808,0.271318116
Myanmar,54409794,142817,0.262483993
Zimbabwe,14862927,38257,0.257398829
Gambia,2416664,5898,0.244055442
Dominica,71991,174,0.241696879
Senegal,16743930,40344,0.240947018
South Korea,51269183,122634,0.239196322
Ethiopia,114963583,257442,0.223933522
Mozambique,31255435,69917,0.223695495
Egypt,102334403,227552,0.222361194
Rwanda,12952209,25116,0.193912868
Congo,5518092,10678,0.193508916
Guinea-Bissau,1967998,3734,0.189735965
Malawi,19129955,34078,0.178139468
Cote d'Ivoire,26378275,46036,0.174522405
Timor,1318442,2276,0.172627996
Guinea,13132792,22215,0.169156719
Togo,8278737,12967,0.156630172
Afghanistan,38928341,59745,0.153474303
Grenada,112519,160,0.142198207
Tajikistan,9537642,13308,0.139531343
Bhutan,771612,1074,0.139189126
Madagascar,27691019,37014,0.133667887
Central African Republic,4829764,6411,0.132739405
Syria,17500657,22733,0.12989798
Papua New Guinea,8947027,10997,0.122912337
Australia,25499881,29811,0.116906428
Haiti,11402533,13056,0.114500874
Nicaragua,6624554,6898,0.104127765
Eritrea,3546427,3671,0.103512634
Oceania,42677809,43570,0.102090527
Mauritius,1271767,1209,0.095064583
South Sudan,11193729,10583,0.094544008
Thailand,69799978,65153,0.093342436
Uganda,45741000,41866,0.091528388
Somalia,15893219,13915,0.087553063
Saint Kitts and Nevis,53192,44,0.082719206
Angola,32866268,26652,0.081092262
Cambodia,16718971,13402,0.080160436
Nigeria,206139587,165110,0.080096212
Sudan,43849269,33944,0.077410641
Mali,20250834,13858,0.06843175
Benin,12123198,7821,0.064512681
Burkina Faso,20903278,13310,0.063674224
New Zealand,4822233,2613,0.054186515
Brunei,437483,224,0.05120199
Sierra Leone,7976985,4054,0.050821206
Liberia,5057677,2099,0.041501266
Burundi,11890781,3995,0.033597457
Democratic Republic of Congo,89561404,29853,0.033332439
Chad,16425859,4817,0.029325711
Niger,24206636,5228,0.021597383
Yemen,29825968,6317,0.021179531
Fiji,896444,117,0.013051568
Laos,7275556,757,0.010404703
China,1439323774,102494,0.007120983
Marshall Islands,59194,4,0.006757442
Taiwan,23816775,1128,0.004736158
Vietnam,97338583,2928,0.003008057
Solomon Islands,686878,20,0.002911725
Samoa,198410,3,0.001512021
Vanuatu,307150,4,0.001302295
Micronesia (country),115021,1,0.000869406
Tanzania,59734213,509,0.000852108
Curacao,164100,0,0
Isle of Man,85032,0,0
Jersey,101073,0,0
Tonga,105697,0,0
Aruba,106766,0,0
Bermuda,62273,0,0
Cayman Islands,65720,0,0
Guernsey,67052,0,0
Greenland,56772,0,0
Faeroe Islands,48865,0,0
Falkland Islands,3483,0,0
Montserrat,4999,0,0
Saint Helena,6071,0,0
Nauru,10834,0,0
Anguilla,15002,0,0
Gibraltar,33691,0,0
Turks and Caicos Islands,38718,0,0
International,0,721,0
Northern Cyprus,0,0,0
Macao,649342,0,0
Hong Kong,7496988,0,0
